question|answer
Apa itu transaction dalam basis data?|Transaction adalah serangkaian operasi yang dieksekusi sebagai satu unit yang memastikan konsistensi data.
Apa itu ACID dalam basis data?|ACID adalah sekumpulan properti (Atomicity, Consistency, Isolation, Durability) yang menjamin keandalan transaksi dalam basis data.
Apa itu normalization dalam basis data?|Normalization adalah proses mengorganisir data dalam tabel basis data untuk mengurangi redundansi dan meningkatkan integritas data.
Apa itu denormalization dalam basis data?|Denormalization adalah proses menambahkan redundansi ke basis data untuk meningkatkan kinerja query.
Apa itu primary key?|Primary key adalah kolom atau set kolom dalam tabel basis data yang secara unik mengidentifikasi setiap baris dalam tabel.
Apa itu foreign key?|Foreign key adalah kolom atau set kolom dalam tabel basis data yang digunakan untuk membuat hubungan antara dua tabel.
Apa itu join dalam SQL?|Join adalah operasi dalam SQL yang menggabungkan baris dari dua atau lebih tabel berdasarkan kondisi tertentu.
Apa itu cloud computing?|Cloud computing adalah penyediaan layanan komputasi seperti server, penyimpanan, basis data, jaringan, perangkat lunak, dan analitik melalui internet.
Apa itu IaaS?|IaaS adalah Infrastructure as a Service, yaitu model layanan cloud di mana penyedia menyediakan infrastruktur IT yang dapat diatur dan dikelola oleh pengguna.
Apa itu PaaS?|PaaS adalah Platform as a Service, yaitu model layanan cloud di mana penyedia menyediakan platform untuk mengembangkan, menguji, dan mengelola aplikasi.
Apa itu SaaS?|SaaS adalah Software as a Service, yaitu model layanan cloud di mana penyedia menyediakan aplikasi perangkat lunak yang dapat diakses melalui internet.
Apa itu virtual machine?|Virtual machine adalah perangkat lunak yang meniru komputer fisik dan menjalankan sistem operasi serta aplikasi seolah-olah itu adalah mesin fisik.
Apa itu container?|Container adalah paket perangkat lunak yang mengisolasi aplikasi dan semua dependensinya dalam satu unit yang dapat berjalan di lingkungan yang berbeda.
Apa itu DevOps?|DevOps adalah pendekatan untuk menggabungkan pengembangan perangkat lunak (Dev) dan operasi IT (Ops) untuk meningkatkan efisiensi dan kualitas pengiriman perangkat lunak.
Apa itu CI/CD?|CI/CD adalah Continuous Integration/Continuous Deployment, yaitu praktik otomasi untuk pengembangan, pengujian, dan pengiriman perangkat lunak secara berkelanjutan.
Apa itu serverless computing?|Serverless computing adalah model eksekusi di mana penyedia cloud mengelola server dan infrastruktur yang diperlukan untuk menjalankan kode.
Apa itu edge computing?|Edge computing adalah model komputasi di mana pemrosesan data dilakukan di dekat sumber data, mengurangi latensi dan meningkatkan kinerja.
Apa itu machine learning?|Machine learning adalah cabang kecerdasan buatan yang memungkinkan sistem untuk belajar dari data dan meningkatkan kinerja tanpa pemrograman eksplisit.
Apa itu neural network?|Neural network adalah model komputasi yang terinspirasi oleh jaringan saraf biologis yang digunakan dalam pembelajaran mesin.
Apa itu deep learning?|Deep learning adalah subbidang pembelajaran mesin yang menggunakan neural network dengan banyak lapisan untuk menganalisis data yang kompleks.
Apa itu big data?|Big data adalah istilah untuk menggambarkan volume besar data yang tidak dapat diproses dengan alat dan teknik tradisional.
Apa itu data mining?|Data mining adalah proses menemukan pola, korelasi, dan wawasan dalam jumlah besar data.
Apa itu data science?|Data science adalah bidang yang menggunakan teknik analitik, pemrograman, dan statistik untuk mengekstrak wawasan dari data.
Apa itu blockchain?|Blockchain adalah teknologi terdistribusi yang menyimpan catatan transaksi dalam blok yang saling terhubung dan aman.
Apa itu cryptocurrency?|Cryptocurrency adalah mata uang digital yang menggunakan kriptografi untuk keamanan dan beroperasi secara independen dari bank sentral.
Apa itu smart contract?|Smart contract adalah program yang berjalan di blockchain dan secara otomatis mengeksekusi perjanjian ketika kondisi tertentu terpenuhi.
Apa itu AI?|AI adalah Artificial Intelligence, yaitu kecerdasan buatan yang memungkinkan mesin untuk meniru kecerdasan manusia dalam menyelesaikan tugas.
Apa itu chatbot?|Chatbot adalah program AI yang dirancang untuk berinteraksi dengan pengguna melalui teks atau suara.
Apa itu VR?|VR adalah Virtual Reality, yaitu teknologi yang menciptakan lingkungan simulasi yang dapat dirasakan pengguna melalui perangkat khusus.
Apa itu AR?|AR adalah Augmented Reality, yaitu teknologi yang menambahkan elemen digital ke dunia nyata melalui perangkat seperti smartphone atau kacamata AR.
Apa itu IoT?|IoT adalah Internet of Things, yaitu jaringan perangkat fisik yang terhubung dan dapat saling bertukar data melalui internet.
Apa itu API Gateway?|API Gateway adalah layanan yang bertindak sebagai pintu masuk untuk semua permintaan API, mengelola lalu lintas, otentikasi, dan routing.
Apa itu middleware?|Middleware adalah perangkat lunak yang menghubungkan aplikasi atau layanan yang berbeda, memungkinkan mereka berkomunikasi dan berbagi data.
Apa itu full stack developer?|Full stack developer adalah pengembang yang memiliki keterampilan di seluruh spektrum pengembangan perangkat lunak, dari front-end hingga back-end.
Apa itu MVC?|MVC adalah Model-View-Controller, yaitu pola desain yang memisahkan logika aplikasi menjadi tiga komponen utama: model, tampilan, dan kontroler.
Apa itu ORM?|ORM adalah Object-Relational Mapping, yaitu teknik untuk mengubah data antara sistem basis data relasional dan objek dalam kode pemrograman.
Apa itu CRUD?|CRUD adalah singkatan dari Create, Read, Update, Delete, yang merupakan operasi dasar untuk mengelola data dalam basis data.
Apa itu RESTful API?|RESTful API adalah API yang mengikuti prinsip-prinsip REST untuk memungkinkan komunikasi antara sistem dengan menggunakan HTTP.
Apa itu websocket?|WebSocket adalah protokol komunikasi yang menyediakan saluran komunikasi dua arah penuh-dupleks melalui satu koneksi TCP.
Apa itu token?|Token adalah unit digital yang digunakan untuk otentikasi dan otorisasi dalam sistem perangkat lunak.
Apa itu event-driven programming?|Event-driven programming adalah paradigma pemrograman di mana aliran program ditentukan oleh peristiwa seperti input pengguna, sensor, atau pesan dari program lain.
Apa itu asynchronous programming?|Asynchronous programming adalah teknik pemrograman di mana tugas dapat dieksekusi secara paralel tanpa menunggu tugas lain selesai.
Apa itu callback?|Callback adalah fungsi yang diteruskan sebagai argumen ke fungsi lain dan dipanggil setelah tugas tertentu selesai.
Apa itu promise dalam JavaScript?|Promise adalah objek yang mewakili hasil akhir dari operasi asynchronous yang dapat sukses atau gagal.
Apa itu async/await dalam JavaScript?|Async/await adalah sintaks dalam JavaScript yang digunakan untuk menulis kode asynchronous yang terlihat dan berperilaku seperti kode synchronous.
Apa itu middleware dalam Express.js?|Middleware dalam Express.js adalah fungsi yang dijalankan selama siklus permintaan-ke-respons aplikasi untuk mengakses, memodifikasi, dan menyelesaikan permintaan.
Apa itu session dalam web development?|Session adalah metode untuk menyimpan data pengguna di server antara permintaan HTTP.
Apa itu cookie?|Cookie adalah data kecil yang disimpan di browser pengguna yang digunakan untuk melacak informasi dan preferensi pengguna.
Apa itu CORS?|CORS adalah Cross-Origin Resource Sharing, yaitu mekanisme keamanan yang mengizinkan atau membatasi permintaan dari domain yang berbeda.
Apa itu SSL/TLS?|SSL/TLS adalah protokol keamanan yang digunakan untuk mengenkripsi data yang dikirim melalui internet.
Apa itu hashing?|Hashing adalah proses mengubah input (biasanya data atau kata sandi) menjadi output tetap yang unik menggunakan fungsi hash.
Apa itu encryption?|Encryption adalah proses mengubah data menjadi format yang tidak dapat dibaca tanpa kunci dekripsi untuk melindungi informasi dari akses yang tidak sah.
Apa itu VPN?|VPN adalah Virtual Private Network, yaitu layanan yang mengenkripsi koneksi internet pengguna dan menyembunyikan alamat IP mereka.
Apa itu firewall?|Firewall adalah perangkat keamanan jaringan yang memantau dan mengontrol lalu lintas jaringan berdasarkan aturan keamanan yang ditetapkan.
Apa itu DDoS?|DDoS adalah Distributed Denial of Service, yaitu serangan siber yang berusaha membuat layanan atau jaringan tidak tersedia dengan membanjiri lalu lintas.
Apa itu phishing?|Phishing adalah metode penipuan di mana penyerang mencoba mendapatkan informasi sensitif dengan menyamar sebagai entitas yang tepercaya.
Apa itu social engineering?|Social engineering adalah taktik manipulasi psikologis yang digunakan untuk menipu individu agar memberikan informasi sensitif atau melakukan tindakan tertentu.
Apa itu penetration testing?|Penetration testing adalah metode menguji keamanan sistem dengan mensimulasikan serangan untuk menemukan kerentanannya.
Apa itu vulnerability?|Vulnerability adalah kelemahan dalam sistem perangkat lunak atau perangkat keras yang dapat dieksploitasi oleh penyerang.
Apa itu patch?|Patch adalah perbaikan perangkat lunak yang dirilis untuk memperbaiki bug atau kerentanan keamanan.
Apa itu zero-day exploit?|Zero-day exploit adalah serangan yang mengeksploitasi kerentanan yang belum diketahui atau belum ditambal oleh pengembang perangkat lunak.
Apa itu authentication?|Authentication adalah proses memverifikasi identitas pengguna atau sistem.
Apa itu authorization?|Authorization adalah proses menentukan hak atau izin pengguna untuk mengakses sumber daya tertentu.
Apa itu multi-factor authentication?|Multi-factor authentication adalah metode keamanan yang menggunakan lebih dari satu bentuk verifikasi untuk mengonfirmasi identitas pengguna.
Apa itu SQL injection?|SQL injection adalah serangan keamanan di mana penyerang menyisipkan kode SQL berbahaya ke dalam permintaan basis data untuk mendapatkan akses tidak sah atau merusak data.
Apa itu XSS?|XSS adalah Cross-Site Scripting, yaitu serangan di mana penyerang menyuntikkan skrip berbahaya ke dalam halaman web yang dilihat oleh pengguna lain.
Apa itu CSRF?|CSRF adalah Cross-Site Request Forgery, yaitu serangan di mana penyerang memaksa pengguna yang terautentikasi untuk melakukan tindakan yang tidak diinginkan.
Apa itu ethical hacking?|Ethical hacking adalah praktik meretas sistem secara legal dan etis untuk menemukan dan memperbaiki kerentanan keamanan.
Apa itu penetration tester?|Penetration tester adalah profesional keamanan yang melakukan pengujian penetrasi untuk mengidentifikasi dan mengeksploitasi kerentanan dalam sistem.
Apa itu cyber threat intelligence?|Cyber threat intelligence adalah informasi tentang ancaman siber yang digunakan untuk membantu organisasi memahami, mengidentifikasi, dan merespons ancaman.
Apa itu SIEM?|SIEM adalah Security Information and Event Management, yaitu solusi keamanan yang mengumpulkan, menganalisis, dan merespons data keamanan dari berbagai sumber.
Apa itu SOC?|SOC adalah Security Operations Center, yaitu tim yang bertanggung jawab untuk memantau, mendeteksi, dan merespons insiden keamanan siber.
Apa itu incident response?|Incident response adalah proses menangani dan memulihkan dari insiden keamanan siber.
Apa itu backup?|Backup adalah salinan data yang dibuat untuk tujuan pemulihan jika data asli hilang atau rusak.
Apa itu disaster recovery?|Disaster recovery adalah proses dan strategi yang digunakan untuk memulihkan sistem, data, dan operasi setelah bencana atau gangguan besar.
Apa itu business continuity?|Business continuity adalah kemampuan organisasi untuk terus beroperasi dan menyediakan layanan selama dan setelah gangguan atau bencana.
Apa itu SLA?|SLA adalah Service Level Agreement, yaitu kontrak antara penyedia layanan dan pelanggan yang mendefinisikan tingkat layanan yang diharapkan.
Apa itu KPI?|KPI adalah Key Performance Indicator, yaitu metrik yang digunakan untuk mengukur keberhasilan suatu proses atau aktivitas.
Apa itu RPA?|RPA adalah Robotic Process Automation, yaitu teknologi yang menggunakan robot perangkat lunak untuk mengotomatiskan tugas-tugas yang berulang dan berbasis aturan.
Apa itu ETL?|ETL adalah Extract, Transform, Load, yaitu proses mengumpulkan data dari berbagai sumber, mengubahnya ke dalam format yang sesuai, dan memuatnya ke dalam basis data atau gudang data.
Apa itu data warehouse?|Data warehouse adalah sistem penyimpanan data yang digunakan untuk analitik dan pelaporan bisnis.
Apa itu data lake?|Data lake adalah penyimpanan terpusat yang menyimpan data mentah dalam berbagai format, memungkinkan analisis dan penemuan data yang fleksibel.
Apa itu data governance?|Data governance adalah kerangka kerja untuk mengelola data dengan cara yang aman, terstruktur, dan konsisten untuk memastikan kualitas dan kepatuhan data.
Apa itu metadata?|Metadata adalah data yang memberikan informasi tentang data lain, seperti deskripsi, konteks, dan struktur.
Apa itu business intelligence?|Business intelligence adalah proses dan teknologi yang digunakan untuk menganalisis data bisnis dan menyediakan wawasan yang mendukung pengambilan keputusan.
Apa itu dashboard?|Dashboard adalah alat visualisasi data yang menyajikan metrik dan indikator kinerja utama dalam satu tampilan yang mudah dipahami.
Apa itu KPI?|KPI adalah Key Performance Indicator, yaitu metrik yang digunakan untuk mengukur keberhasilan suatu proses atau aktivitas.
Apa itu RPA?|RPA adalah Robotic Process Automation, yaitu teknologi yang menggunakan robot perangkat lunak untuk mengotomatiskan tugas-tugas yang berulang dan berbasis aturan.
Apa itu ETL?|ETL adalah Extract, Transform, Load, yaitu proses mengumpulkan data dari berbagai sumber, mengubahnya ke dalam format yang sesuai, dan memuatnya ke dalam basis data atau gudang data.
Apa itu data warehouse?|Data warehouse adalah sistem penyimpanan data yang digunakan untuk analitik dan pelaporan bisnis.
Apa itu data lake?|Data lake adalah penyimpanan terpusat yang menyimpan data mentah dalam berbagai format, memungkinkan analisis dan penemuan data yang fleksibel.
Apa itu data governance?|Data governance adalah kerangka kerja untuk mengelola data dengan cara yang aman, terstruktur, dan konsisten untuk memastikan kualitas dan kepatuhan data.
Apa itu metadata?|Metadata adalah data yang memberikan informasi tentang data lain, seperti deskripsi, konteks, dan struktur.
Apa itu business intelligence?|Business intelligence adalah proses dan teknologi yang digunakan untuk menganalisis data bisnis dan menyediakan wawasan yang mendukung pengambilan keputusan.
Apa itu dashboard?|Dashboard adalah alat visualisasi data yang menyajikan metrik dan indikator kinerja utama dalam satu tampilan yang mudah dipahami.
Apa itu data visualization?|Data visualization adalah proses menampilkan data dalam bentuk grafis atau visual untuk memudahkan pemahaman dan analisis.
Apa itu machine learning model?|Machine learning model adalah representasi matematis dari proses pembelajaran yang digunakan untuk membuat prediksi atau pengambilan keputusan berdasarkan data.
Apa itu supervised learning?|Supervised learning adalah jenis pembelajaran mesin di mana model dilatih menggunakan data berlabel.
Apa itu unsupervised learning?|Unsupervised learning adalah jenis pembelajaran mesin di mana model dilatih menggunakan data yang tidak berlabel untuk menemukan pola atau hubungan dalam data.
Apa itu reinforcement learning?|Reinforcement learning adalah jenis pembelajaran mesin di mana agen belajar melalui interaksi dengan lingkungan dan menerima umpan balik dalam bentuk reward atau penalti.
Apa itu classification dalam machine learning?|Classification adalah tugas pembelajaran mesin di mana model memprediksi label kategori untuk data input.
Apa itu regression dalam machine learning?|Regression adalah tugas pembelajaran mesin di mana model memprediksi nilai kontinu untuk data input.
Apa itu clustering dalam machine learning?|Clustering adalah tugas pembelajaran mesin di mana model mengelompokkan data ke dalam kelompok atau klaster yang serupa.
Apa itu neural network layer?|Neural network layer adalah komponen dari jaringan saraf yang terdiri dari neuron yang memproses input dan meneruskan output ke lapisan berikutnya.
Apa itu activation function dalam neural network?|Activation function adalah fungsi yang menentukan output neuron berdasarkan input yang diterima.
Apa itu overfitting?|Overfitting adalah kondisi di mana model pembelajaran mesin sangat cocok dengan data pelatihan tetapi berkinerja buruk pada data baru.
Apa itu underfitting?|Underfitting adalah kondisi di mana model pembelajaran mesin tidak cukup menangkap pola dalam data pelatihan dan berkinerja buruk pada data pelatihan dan data baru.
Apa itu cross-validation?|Cross-validation adalah teknik evaluasi model di mana data dibagi menjadi beberapa subset dan model dilatih dan diuji pada setiap subset secara bergantian.
Apa itu confusion matrix?|Confusion matrix adalah tabel yang digunakan untuk mengevaluasi kinerja model classification dengan menunjukkan jumlah prediksi benar dan salah untuk setiap kelas.
Apa itu precision dalam machine learning?|Precision adalah metrik evaluasi yang mengukur proporsi prediksi positif yang benar.
Apa itu recall dalam machine learning?|Recall adalah metrik evaluasi yang mengukur proporsi kasus positif yang benar-benar terdeteksi oleh model.
Apa itu F1 score?|F1 score adalah metrik evaluasi yang menggabungkan precision dan recall menjadi satu nilai tunggal dengan menghitung rata-rata harmonik dari keduanya.
Apa itu ROC curve?|ROC curve adalah grafik yang menunjukkan kinerja model classification dengan memplot true positive rate terhadap false positive rate pada berbagai threshold.
Apa itu AUC?|AUC adalah Area Under the Curve, yaitu nilai yang mengukur kinerja keseluruhan model classification berdasarkan ROC curve.
Apa itu gradient descent?|Gradient descent adalah algoritma optimasi yang digunakan untuk meminimalkan fungsi kerugian dengan memperbarui parameter model secara iteratif dalam arah menurun dari gradien.
Apa itu learning rate?|Learning rate adalah parameter dalam algoritma gradient descent yang menentukan ukuran langkah pembaruan parameter model pada setiap iterasi.
Apa itu backpropagation?|Backpropagation adalah algoritma yang digunakan untuk melatih neural network dengan menghitung gradien dari fungsi kerugian dan memperbarui bobot model berdasarkan gradien tersebut.
Apa itu dropout?|Dropout adalah teknik regularisasi dalam neural network di mana sebagian neuron dihilangkan secara acak selama pelatihan untuk mencegah overfitting.
Apa itu convolutional neural network (CNN)?|CNN adalah jenis neural network yang khusus digunakan untuk tugas pengenalan gambar dan analisis data spasial dengan menggunakan lapisan konvolusi.
Apa itu recurrent neural network (RNN)?|RNN adalah jenis neural network yang digunakan untuk memproses data berurutan seperti teks dan sinyal waktu dengan menggunakan umpan balik dari lapisan sebelumnya.
Apa itu long short-term memory (LSTM)?|LSTM adalah jenis RNN yang dirancang untuk mengatasi masalah gradien menghilang dan mempertahankan informasi jangka panjang dalam data berurutan.
Apa itu natural language processing (NLP)?|NLP adalah cabang kecerdasan buatan yang berfokus pada interaksi antara komputer dan manusia menggunakan bahasa alami.
Apa itu tokenization dalam NLP?|Tokenization adalah proses memecah teks menjadi unit-unit kecil yang disebut token, seperti kata atau frasa.
Apa itu stemming?|Stemming adalah teknik NLP untuk mengurangi kata ke bentuk dasarnya atau akarnya.
Apa itu lemmatization?|Lemmatization adalah teknik NLP untuk mengurangi kata ke bentuk dasarnya atau lema yang mempertimbangkan konteks dan makna kata.
Apa itu bag-of-words?|Bag-of-words adalah representasi teks di mana setiap kata dalam korpus dihitung dan digunakan sebagai fitur tanpa memperhatikan urutan kata.
Apa itu TF-IDF?|TF-IDF adalah teknik NLP yang mengukur kepentingan kata dalam dokumen berdasarkan frekuensi kata dan frekuensi kata dalam seluruh korpus.
Apa itu word embedding?|Word embedding adalah teknik NLP untuk merepresentasikan kata-kata dalam bentuk vektor berdimensi rendah yang mempertahankan hubungan semantik antar kata.
Apa itu sentiment analysis?|Sentiment analysis adalah tugas NLP untuk menentukan sentimen atau emosi yang terkandung dalam teks, seperti positif, negatif, atau netral.
Apa itu chatGPT?|ChatGPT adalah model bahasa berbasis GPT yang dirancang untuk menghasilkan teks alami dan interaksi percakapan yang mirip dengan manusia.
Apa itu transformer?|Transformer adalah arsitektur neural network yang digunakan untuk tugas NLP yang memanfaatkan mekanisme perhatian untuk menangani hubungan jangka panjang dalam data berurutan.
Apa itu attention mechanism?|Attention mechanism adalah teknik dalam neural network yang memungkinkan model untuk fokus pada bagian-bagian penting dari input saat menghasilkan output.
Apa itu BERT?|BERT adalah model bahasa berbasis transformer yang dilatih dengan dua tugas utama: masked language modeling dan next sentence prediction untuk pemahaman konteks yang lebih baik.
Apa itu GPT?|GPT adalah Generative Pre-trained Transformer, yaitu model bahasa yang dilatih untuk menghasilkan teks yang koheren dan alami berdasarkan input yang diberikan.
Apa itu autoencoder?|Autoencoder adalah jenis neural network yang digunakan untuk mengkodekan data input ke representasi yang lebih rendah dan kemudian mendekodekannya kembali ke data asli.
Apa itu generative adversarial network (GAN)?|GAN adalah jenis neural network yang terdiri dari dua model, generator dan discriminator, yang dilatih bersama-sama untuk menghasilkan data baru yang mirip dengan data asli.
Apa itu reinforcement learning?|Reinforcement learning adalah jenis pembelajaran mesin di mana agen belajar melalui interaksi dengan lingkungan dan menerima umpan balik dalam bentuk reward atau penalti.
Apa itu Q-learning?|Q-learning adalah algoritma reinforcement learning yang digunakan untuk menemukan kebijakan optimal dengan memperbarui nilai Q berdasarkan pengalaman agen.
Apa itu Markov decision process?|Markov decision process adalah model matematika yang digunakan untuk merumuskan masalah pengambilan keputusan di mana hasil tergantung pada tindakan agen dan keadaan saat ini.
Apa itu policy dalam reinforcement learning?|Policy adalah fungsi yang menentukan tindakan yang harus diambil oleh agen berdasarkan keadaan saat ini dalam reinforcement learning.
Apa itu value function?|Value function adalah fungsi yang memperkirakan nilai dari suatu keadaan atau tindakan dalam reinforcement learning.
Apa itu reward function?|Reward function adalah fungsi yang menentukan nilai umpan balik yang diterima oleh agen setelah mengambil tindakan dalam reinforcement learning.
Apa itu exploration vs exploitation?|Exploration vs exploitation adalah trade-off dalam reinforcement learning di mana agen harus memilih antara menjelajahi tindakan baru atau mengeksploitasi tindakan yang sudah terbukti menguntungkan.
Apa itu transfer learning?|Transfer learning adalah teknik pembelajaran mesin di mana model yang telah dilatih pada tugas tertentu digunakan kembali dan disesuaikan untuk tugas lain.
Apa itu federated learning?|Federated learning adalah pendekatan pembelajaran mesin di mana model dilatih secara terdistribusi di beberapa perangkat tanpa mengumpulkan data mentah di satu tempat.
